fixture_name,iters,time_ms_median,time_ms_min,time_ms_max,max_slack_vs_ln,nodes_compared,pass,all_times_ms
A1_chain_d3_N50,3,10,10,10,0.000043,60,true,10
A1_chain_d5_N20,3,12,12,12,0.000001,100,true,12
A1_chain_d5_N50,3,12,12,12,0.000042,100,true,12
A1_chain_d5_N100,3,33,33,33,0.000003,100,true,33
A1_chain_d8_N50,3,19,19,19,0.000104,160,true,19
A2_multiclassA_2refs_loadLow_N20,2,10,10,10,0.002362,65,true,10
A2_multiclassA_2refs_loadHigh_N20,2,10,10,10,0.000827,65,true,10
A2_multiclassA_2refs_loadLow_N50,2,2,2,2,0.008834,65,true,2
A2_multiclassA_2refs_loadHigh_N50,2,3,3,3,0.002792,65,true,3
A2_multiclassB_2refs_demands_3to1_N20,2,10,10,10,0.027154,65,true,10
A2_multiclassB_2refs_demands_5to1_N20,2,10,10,10,0.035557,65,true,10
A2_multiclassB_2refs_demands_3to1_N50,2,2,2,2,0.009364,65,true,2
A2_multiclassB_2refs_demands_5to1_N50,2,2,2,2,0.009912,65,true,2
A2_multiclassC_2refs_think_2to1_N20,2,7,7,7,0.014538,65,true,7
A2_multiclassC_2refs_think_4to1_N20,2,7,7,7,0.040825,65,true,7
A2_multiclassC_2refs_think_2to1_N50,2,2,2,2,0.008283,65,true,2
A2_multiclassC_2refs_think_4to1_N50,2,2,2,2,0.016165,65,true,2
A3_multiserver_c2_loadLow,3,1,1,1,0.000000,40,true,1
A3_multiserver_c2_loadMedium,3,1,1,1,0.000000,40,true,1
A3_multiserver_c2_loadHigh,3,1,1,1,0.000000,40,true,1
A3_multiserver_c4_loadLow,3,1,1,1,0.000000,40,true,1
A3_multiserver_c4_loadMedium,3,1,1,1,0.000000,40,true,1
A3_multiserver_c4_loadHigh,3,1,1,1,0.000000,40,true,1
A3_multiserver_c8_loadLow,3,1,1,1,0.000000,40,true,1
A3_multiserver_c8_loadMedium,3,1,1,1,0.000000,40,true,1
A3_multiserver_c8_loadHigh,3,1,1,1,0.000000,40,true,1
A4_threeTier_multiclass,5,5,5,5,0.015522,85,true,5
A4_multiclass_multiserver,2,2,2,2,0.111505,65,true,2
A4_multiclass_multientry,2,3,3,3,0.057472,90,true,3
A4_chainPlusFanout,6,9,9,9,0.892897,105,true,9
A4_webApplication,2,2,2,2,0.358173,85,true,2
A4_databaseBackend,3,4,4,4,0.000000,80,true,4
A4_threeTier_sequence,2,1,1,1,0.000000,0,true,1
A4_parallelService_andFork,2,1,1,1,0.000000,0,true,1
A4_retryLoop,3,2,2,2,0.000000,0,true,2
A4_replyThenLog,3,1,1,1,0.000000,0,true,1
A5_orForkUneven,3,1,1,1,0.000000,0,true,1
A5_orForkThreeWay,3,1,1,1,0.000000,0,true,1
A5_andForkThreeWay,2,1,1,1,0.000000,0,true,1
A5_andForkMultiAct,2,1,1,1,0.000000,0,true,1
A5_seqMultiEntry,3,1,1,1,0.000000,0,true,1
A5_replyAtBound,3,3,3,3,0.000000,0,true,3
A5_combinedDag,2,1,1,1,0.000000,0,true,1
A5_multiclassAndFork,2,1,1,1,0.000000,0,true,1
B_scaleAxis_tasks5_chain,3,2,2,2,0.000418,100,true,2
B_scaleAxis_tasks10_chain,3,5,5,5,0.003630,200,true,5
B_scaleAxis_tasks20_chain,3,18,18,18,0.089786,400,true,18
B_scaleAxis_tasks40_chain,3,59,59,59,0.044153,800,true,59
B_scaleAxis_tasks60_chain,3,141,141,141,0.063045,1200,true,141
B_scaleAxis_tasks5_fanout,8,4,4,4,2.336347,100,false,4
B_scaleAxis_tasks10_fanout,9,20,20,20,2.335008,200,false,20
B_scaleAxis_tasks20_fanout,8,21,21,21,0.986329,400,true,21
B_scaleAxis_tasks40_fanout,7,94,94,94,0.000000,0,true,94
B_scaleAxis_tasks60_fanout,5,243,243,243,0.000000,0,true,243
C1_fanOut2_caller_c1,7,2,2,2,0.362208,60,true,2
C1_fanOut2_caller_c2,7,1,1,1,0.362208,60,true,1
C1_fanOut3_caller_c1,8,2,2,2,0.331456,80,true,2
C1_fanOut3_caller_c2,8,2,2,2,0.331456,80,true,2
C1_fanOut4_caller_c1,8,2,2,2,0.292254,100,true,2
C1_fanOut4_caller_c2,8,2,2,2,0.292254,100,true,2
C2_infTaskSimple,2,0,0,0,0.000000,40,true,0
C2_infTaskShared,2,0,0,0,0.000000,65,true,0
C2_infTaskDeep,2,1,1,1,0.000001,80,true,1
C3_multiclassMultiEntry_2refs,2,1,1,1,0.035019,65,true,1
C3_multiclassMultiEntry_3refs,2,1,1,1,0.298966,90,true,1
C3_multiclassMultiEntry_asymmetric,2,1,1,1,0.062914,65,true,1
C4_nearSaturation,3,0,0,0,0.463438,40,true,0
C4_predicateThreshold,2,0,0,0,0.000000,40,true,0
C4_lowDemand,2,0,0,0,0.000002,40,true,0
C5_satFanout_tasks5,21,6,6,6,0.000000,0,true,6
C5_satFanout_tasks10,8,14,14,14,0.000000,0,true,14
C5_satFanout_tasks20,8,19,19,19,0.000000,0,true,19
C5_satFanoutCaller_w2,13,4,4,4,0.000000,0,true,4
C5_satFanoutCaller_w3,17,8,8,8,0.000000,0,true,8
C5_satFanoutCaller_w4,17,11,11,11,0.000000,0,true,11
C6_andForkPsHost,3,0,0,0,0.000000,0,true,0
C7_deepChainMultiCall,2,2,2,2,0.000000,0,true,2
C7_deepChainAllExp,3,3,3,3,0.000000,0,true,3
