fixture_name,iters,time_ms_median,time_ms_min,time_ms_max,max_slack_vs_ln,nodes_compared,pass,all_times_ms
A1_chain_d3_N50,3,8,8,8,0.000043,60,true,8
A1_chain_d5_N20,3,6,6,6,0.000001,100,true,6
A1_chain_d5_N50,3,9,9,9,0.000042,100,true,9
A1_chain_d5_N100,3,23,23,23,0.000003,100,true,23
A1_chain_d8_N50,3,8,8,8,0.000104,160,true,8
A2_multiclassA_2refs_loadLow_N20,2,6,6,6,0.002362,65,true,6
A2_multiclassA_2refs_loadHigh_N20,2,6,6,6,0.000827,65,true,6
A2_multiclassA_2refs_loadLow_N50,2,1,1,1,0.008834,65,true,1
A2_multiclassA_2refs_loadHigh_N50,2,1,1,1,0.002792,65,true,1
A2_multiclassB_2refs_demands_3to1_N20,2,6,6,6,0.027154,65,true,6
A2_multiclassB_2refs_demands_5to1_N20,2,6,6,6,0.035557,65,true,6
A2_multiclassB_2refs_demands_3to1_N50,2,1,1,1,0.009364,65,true,1
A2_multiclassB_2refs_demands_5to1_N50,2,1,1,1,0.009912,65,true,1
A2_multiclassC_2refs_think_2to1_N20,2,4,4,4,0.014538,65,true,4
A2_multiclassC_2refs_think_4to1_N20,2,4,4,4,0.040825,65,true,4
A2_multiclassC_2refs_think_2to1_N50,2,1,1,1,0.008283,65,true,1
A2_multiclassC_2refs_think_4to1_N50,2,1,1,1,0.016165,65,true,1
A3_multiserver_c2_loadLow,3,0,0,0,0.000000,40,true,0
A3_multiserver_c2_loadMedium,3,0,0,0,0.000000,40,true,0
A3_multiserver_c2_loadHigh,3,0,0,0,0.000000,40,true,0
A3_multiserver_c4_loadLow,3,0,0,0,0.000000,40,true,0
A3_multiserver_c4_loadMedium,3,0,0,0,0.000000,40,true,0
A3_multiserver_c4_loadHigh,3,1,1,1,0.000000,40,true,1
A3_multiserver_c8_loadLow,3,1,1,1,0.000000,40,true,1
A3_multiserver_c8_loadMedium,3,1,1,1,0.000000,40,true,1
A3_multiserver_c8_loadHigh,3,0,0,0,0.000000,40,true,0
A4_threeTier_multiclass,5,3,3,3,0.015522,85,true,3
A4_multiclass_multiserver,2,1,1,1,0.111505,65,true,1
A4_multiclass_multientry,2,2,2,2,0.057472,90,true,2
A4_chainPlusFanout,6,5,5,5,0.892897,105,true,5
A4_webApplication,2,1,1,1,0.358173,85,true,1
A4_databaseBackend,3,2,2,2,0.000000,80,true,2
A4_threeTier_sequence,2,1,1,1,0.000000,0,true,1
A4_parallelService_andFork,2,0,0,0,0.000000,0,true,0
A4_retryLoop,3,1,1,1,0.000000,0,true,1
A4_replyThenLog,3,0,0,0,0.000000,0,true,0
A5_orForkUneven,3,1,1,1,0.000000,0,true,1
A5_orForkThreeWay,3,0,0,0,0.000000,0,true,0
A5_andForkThreeWay,2,0,0,0,0.000000,0,true,0
A5_andForkMultiAct,2,1,1,1,0.000000,0,true,1
A5_seqMultiEntry,3,0,0,0,0.000000,0,true,0
A5_replyAtBound,3,1,1,1,0.000000,0,true,1
A5_combinedDag,2,0,0,0,0.000000,0,true,0
A5_multiclassAndFork,2,0,0,0,0.000000,0,true,0
B_scaleAxis_tasks5_chain,3,1,1,1,0.000418,100,true,1
B_scaleAxis_tasks10_chain,3,3,3,3,0.003630,200,true,3
B_scaleAxis_tasks20_chain,3,10,10,10,0.089786,400,true,10
B_scaleAxis_tasks40_chain,3,32,32,32,0.044153,800,true,32
B_scaleAxis_tasks60_chain,3,69,69,69,0.063045,1200,true,69
B_scaleAxis_tasks5_fanout,10,3,3,3,2.391194,100,false,3
B_scaleAxis_tasks10_fanout,11,7,7,7,2.398524,200,false,7
B_scaleAxis_tasks20_fanout,10,17,17,17,1.077018,400,false,17
B_scaleAxis_tasks40_fanout,9,63,63,63,0.000000,0,true,63
B_scaleAxis_tasks60_fanout,8,124,124,124,0.000000,0,true,124
C1_fanOut2_caller_c1,9,0,0,0,0.383804,60,true,0
C1_fanOut2_caller_c2,9,0,0,0,0.383804,60,true,0
C1_fanOut3_caller_c1,10,1,1,1,0.343384,80,true,1
C1_fanOut3_caller_c2,10,1,1,1,0.343384,80,true,1
C1_fanOut4_caller_c1,10,1,1,1,0.304168,100,true,1
C1_fanOut4_caller_c2,10,1,1,1,0.304168,100,true,1
C2_infTaskSimple,2,0,0,0,0.000000,40,true,0
C2_infTaskShared,2,0,0,0,0.000000,65,true,0
C2_infTaskDeep,2,0,0,0,0.000001,80,true,0
C3_multiclassMultiEntry_2refs,2,0,0,0,0.035019,65,true,0
C3_multiclassMultiEntry_3refs,2,0,0,0,0.298966,90,true,0
C3_multiclassMultiEntry_asymmetric,2,0,0,0,0.062914,65,true,0
C4_nearSaturation,3,0,0,0,0.463438,40,true,0
C4_predicateThreshold,2,0,0,0,0.000000,40,true,0
C4_lowDemand,3,0,0,0,0.000002,40,true,0
C5_satFanout_tasks5,26,5,5,5,0.000000,0,true,5
C5_satFanout_tasks10,11,5,5,5,0.000000,0,true,5
C5_satFanout_tasks20,10,16,16,16,0.000000,0,true,16
C5_satFanoutCaller_w2,19,3,3,3,0.000000,0,true,3
C5_satFanoutCaller_w3,18,4,4,4,0.000000,0,true,4
C5_satFanoutCaller_w4,21,6,6,6,0.000000,0,true,6
C6_andForkPsHost,3,0,0,0,0.000000,0,true,0
C7_deepChainMultiCall,3,2,2,2,0.000000,0,true,2
C7_deepChainAllExp,3,2,2,2,0.000000,0,true,2
